,Country,Year,Indicator,Value,Label,Region
102984,Afghanistan,1949,Emissions,14.7,CO2 Emissions (Metric Tons),Rest of the World
102986,Afghanistan,1950,Emissions,84.3,CO2 Emissions (Metric Tons),Rest of the World
102988,Afghanistan,1951,Emissions,91.7,CO2 Emissions (Metric Tons),Rest of the World
102990,Afghanistan,1952,Emissions,91.7,CO2 Emissions (Metric Tons),Rest of the World
102992,Afghanistan,1953,Emissions,106.0,CO2 Emissions (Metric Tons),Rest of the World
102994,Afghanistan,1954,Emissions,106.0,CO2 Emissions (Metric Tons),Rest of the World
102996,Afghanistan,1955,Emissions,154.0,CO2 Emissions (Metric Tons),Rest of the World
102998,Afghanistan,1956,Emissions,183.0,CO2 Emissions (Metric Tons),Rest of the World
103000,Afghanistan,1957,Emissions,293.0,CO2 Emissions (Metric Tons),Rest of the World
103002,Afghanistan,1958,Emissions,330.0,CO2 Emissions (Metric Tons),Rest of the World
103004,Afghanistan,1959,Emissions,385.0,CO2 Emissions (Metric Tons),Rest of the World
103006,Afghanistan,1960,Emissions,414.0,CO2 Emissions (Metric Tons),Rest of the World
103008,Afghanistan,1961,Emissions,491.0,CO2 Emissions (Metric Tons),Rest of the World
103010,Afghanistan,1962,Emissions,689.0,CO2 Emissions (Metric Tons),Rest of the World
103012,Afghanistan,1963,Emissions,708.0,CO2 Emissions (Metric Tons),Rest of the World
103014,Afghanistan,1964,Emissions,840.0,CO2 Emissions (Metric Tons),Rest of the World
103016,Afghanistan,1965,Emissions,1010.0,CO2 Emissions (Metric Tons),Rest of the World
103018,Afghanistan,1966,Emissions,1090.0,CO2 Emissions (Metric Tons),Rest of the World
103020,Afghanistan,1967,Emissions,1280.0,CO2 Emissions (Metric Tons),Rest of the World
103022,Afghanistan,1968,Emissions,1220.0,CO2 Emissions (Metric Tons),Rest of the World
103024,Afghanistan,1969,Emissions,942.0,CO2 Emissions (Metric Tons),Rest of the World
103026,Afghanistan,1970,Emissions,1670.0,CO2 Emissions (Metric Tons),Rest of the World
103028,Afghanistan,1971,Emissions,1900.0,CO2 Emissions (Metric Tons),Rest of the World
103030,Afghanistan,1972,Emissions,1530.0,CO2 Emissions (Metric Tons),Rest of the World
103032,Afghanistan,1973,Emissions,1640.0,CO2 Emissions (Metric Tons),Rest of the World
103034,Afghanistan,1974,Emissions,1920.0,CO2 Emissions (Metric Tons),Rest of the World
103036,Afghanistan,1975,Emissions,2130.0,CO2 Emissions (Metric Tons),Rest of the World
103038,Afghanistan,1976,Emissions,1990.0,CO2 Emissions (Metric Tons),Rest of the World
103040,Afghanistan,1977,Emissions,2390.0,CO2 Emissions (Metric Tons),Rest of the World
103042,Afghanistan,1978,Emissions,2160.0,CO2 Emissions (Metric Tons),Rest of the World
103044,Afghanistan,1979,Emissions,2240.0,CO2 Emissions (Metric Tons),Rest of the World
103046,Afghanistan,1980,Emissions,1760.0,CO2 Emissions (Metric Tons),Rest of the World
103048,Afghanistan,1981,Emissions,1980.0,CO2 Emissions (Metric Tons),Rest of the World
103050,Afghanistan,1982,Emissions,2100.0,CO2 Emissions (Metric Tons),Rest of the World
103052,Afghanistan,1983,Emissions,2520.0,CO2 Emissions (Metric Tons),Rest of the World
103054,Afghanistan,1984,Emissions,2830.0,CO2 Emissions (Metric Tons),Rest of the World
103056,Afghanistan,1985,Emissions,3510.0,CO2 Emissions (Metric Tons),Rest of the World
103058,Afghanistan,1986,Emissions,3140.0,CO2 Emissions (Metric Tons),Rest of the World
