,Country,Year,Emissions,Label
0,Afghanistan,1751,,CO2 Emissions (Metric Tons)
1,Albania,1751,,CO2 Emissions (Metric Tons)
2,Algeria,1751,,CO2 Emissions (Metric Tons)
3,Andorra,1751,,CO2 Emissions (Metric Tons)
4,Angola,1751,,CO2 Emissions (Metric Tons)
5,Antigua and Barbuda,1751,,CO2 Emissions (Metric Tons)
6,Argentina,1751,,CO2 Emissions (Metric Tons)
7,Armenia,1751,,CO2 Emissions (Metric Tons)
8,Australia,1751,,CO2 Emissions (Metric Tons)
9,Austria,1751,,CO2 Emissions (Metric Tons)
10,Azerbaijan,1751,,CO2 Emissions (Metric Tons)
11,Bahamas,1751,,CO2 Emissions (Metric Tons)
12,Bahrain,1751,,CO2 Emissions (Metric Tons)
13,Bangladesh,1751,,CO2 Emissions (Metric Tons)
14,Barbados,1751,,CO2 Emissions (Metric Tons)
15,Belarus,1751,,CO2 Emissions (Metric Tons)
16,Belgium,1751,,CO2 Emissions (Metric Tons)
17,Belize,1751,,CO2 Emissions (Metric Tons)
18,Benin,1751,,CO2 Emissions (Metric Tons)
19,Bhutan,1751,,CO2 Emissions (Metric Tons)
20,Bolivia,1751,,CO2 Emissions (Metric Tons)
21,Bosnia and Herzegovina,1751,,CO2 Emissions (Metric Tons)
22,Botswana,1751,,CO2 Emissions (Metric Tons)
23,Brazil,1751,,CO2 Emissions (Metric Tons)
24,Brunei,1751,,CO2 Emissions (Metric Tons)
25,Bulgaria,1751,,CO2 Emissions (Metric Tons)
26,Burkina Faso,1751,,CO2 Emissions (Metric Tons)
27,Burundi,1751,,CO2 Emissions (Metric Tons)
28,Cambodia,1751,,CO2 Emissions (Metric Tons)
29,Cameroon,1751,,CO2 Emissions (Metric Tons)
30,Canada,1751,,CO2 Emissions (Metric Tons)
31,Cape Verde,1751,,CO2 Emissions (Metric Tons)
32,Central African Republic,1751,,CO2 Emissions (Metric Tons)
33,Chad,1751,,CO2 Emissions (Metric Tons)
34,Chile,1751,,CO2 Emissions (Metric Tons)
35,China,1751,,CO2 Emissions (Metric Tons)
36,Colombia,1751,,CO2 Emissions (Metric Tons)
37,Comoros,1751,,CO2 Emissions (Metric Tons)
38,"Congo, Dem. Rep.",1751,,CO2 Emissions (Metric Tons)
39,"Congo, Rep.",1751,,CO2 Emissions (Metric Tons)
40,Costa Rica,1751,,CO2 Emissions (Metric Tons)
41,Cote d'Ivoire,1751,,CO2 Emissions (Metric Tons)
42,Croatia,1751,,CO2 Emissions (Metric Tons)
43,Cuba,1751,,CO2 Emissions (Metric Tons)
44,Cyprus,1751,,CO2 Emissions (Metric Tons)
45,Czech Republic,1751,,CO2 Emissions (Metric Tons)
46,Denmark,1751,,CO2 Emissions (Metric Tons)
47,Djibouti,1751,,CO2 Emissions (Metric Tons)
48,Dominica,1751,,CO2 Emissions (Metric Tons)
49,Dominican Republic,1751,,CO2 Emissions (Metric Tons)
50,Ecuador,1751,,CO2 Emissions (Metric Tons)
