,Country,Year,Emissions
2842,Canada,1900,20600.0
2843,Canada,1901,23900.0
2844,Canada,1902,25700.0
2845,Canada,1903,28000.0
2846,Canada,1904,33100.0
2847,Canada,1905,35400.0
2848,Canada,1906,37400.0
2849,Canada,1907,47000.0
2850,Canada,1908,47400.0
2851,Canada,1909,45400.0
2852,Canada,1910,51700.0
2853,Canada,1911,60300.0
2854,Canada,1912,67300.0
2855,Canada,1913,79300.0
2856,Canada,1914,68400.0
2857,Canada,1915,61200.0
2858,Canada,1916,76500.0
2859,Canada,1917,85300.0
2860,Canada,1918,89600.0
2861,Canada,1919,76200.0
2862,Canada,1920,84400.0
2863,Canada,1921,80500.0
2864,Canada,1922,69300.0
2865,Canada,1923,93100.0
2866,Canada,1924,77400.0
2867,Canada,1925,75300.0
2868,Canada,1926,84800.0
2869,Canada,1927,92100.0
2870,Canada,1928,93900.0
2871,Canada,1929,99100.0
2872,Canada,1930,94400.0
2873,Canada,1931,75900.0
2874,Canada,1932,70300.0
2875,Canada,1933,69500.0
2876,Canada,1934,80000.0
2877,Canada,1935,78900.0
2878,Canada,1936,86200.0
2879,Canada,1937,93600.0
2880,Canada,1938,85600.0
2881,Canada,1939,95100.0
2882,Canada,1940,109000.0
2883,Canada,1941,120000.0
2884,Canada,1942,131000.0
2885,Canada,1943,138000.0
2886,Canada,1944,141000.0
2887,Canada,1945,131000.0
2888,Canada,1946,139000.0
2889,Canada,1947,144000.0
2890,Canada,1948,159000.0
2891,Canada,1949,145000.0
2892,Canada,1950,154000.0
2893,Canada,1951,163000.0
2894,Canada,1952,160000.0
2895,Canada,1953,161000.0
2896,Canada,1954,163000.0
2897,Canada,1955,170000.0
2898,Canada,1956,190000.0
2899,Canada,1957,183000.0
2900,Canada,1958,182000.0
2901,Canada,1959,185000.0
2902,Canada,1960,193000.0
2903,Canada,1961,194000.0
2904,Canada,1962,207000.0
2905,Canada,1963,211000.0
2906,Canada,1964,238000.0
2907,Canada,1965,252000.0
2908,Canada,1966,259000.0
2909,Canada,1967,282000.0
2910,Canada,1968,304000.0
2911,Canada,1969,307000.0
2912,Canada,1970,341000.0
2913,Canada,1971,353000.0
2914,Canada,1972,381000.0
2915,Canada,1973,382000.0
2916,Canada,1974,390000.0
2917,Canada,1975,397000.0
2918,Canada,1976,399000.0
2919,Canada,1977,408000.0
2920,Canada,1978,416000.0
2921,Canada,1979,442000.0
2922,Canada,1980,443000.0
2923,Canada,1981,430000.0
2924,Canada,1982,415000.0
2925,Canada,1983,409000.0
2926,Canada,1984,426000.0
2927,Canada,1985,422000.0
2928,Canada,1986,405000.0
2929,Canada,1987,431000.0
2930,Canada,1988,456000.0
2931,Canada,1989,463000.0
2932,Canada,1990,435000.0
2933,Canada,1991,427000.0
2934,Canada,1992,441000.0
2935,Canada,1993,446000.0
2936,Canada,1994,457000.0
2937,Canada,1995,468000.0
2938,Canada,1996,479000.0
2939,Canada,1997,495000.0
2940,Canada,1998,507000.0
2941,Canada,1999,515000.0
2942,Canada,2000,534000.0
2943,Canada,2001,528000.0
2944,Canada,2002,519000.0
2945,Canada,2003,553000.0
2946,Canada,2004,552000.0
2947,Canada,2005,557000.0
2948,Canada,2006,544000.0
2949,Canada,2007,554000.0
2950,Canada,2008,561000.0
2951,Canada,2009,537000.0
2952,Canada,2010,535000.0
2953,Canada,2011,537000.0
2954,Canada,2012,517000.0
2955,Canada,2013,517000.0
2956,Canada,2014,537000.0
3255,China,1902,95.3
3256,China,1903,1970.0
3257,China,1904,2090.0
3258,China,1905,2300.0
3259,China,1906,17100.0
3260,China,1907,16900.0
3261,China,1908,22800.0
3262,China,1909,20900.0
3263,China,1910,18800.0
3264,China,1911,27900.0
3265,China,1912,9790.0
3266,China,1913,10800.0
3267,China,1914,15100.0
3268,China,1915,16100.0
3269,China,1916,18000.0
3270,China,1917,19900.0
3271,China,1918,21100.0
3272,China,1919,24300.0
3273,China,1920,26800.0
3274,China,1921,25300.0
3275,China,1922,26700.0
3276,China,1923,32200.0
3277,China,1924,35100.0
3278,China,1925,33200.0
3279,China,1926,29600.0
3280,China,1927,33600.0
3281,China,1928,34100.0
3282,China,1929,35800.0
3283,China,1930,38000.0
3284,China,1931,40300.0
3285,China,1932,38600.0
3286,China,1933,42300.0
3287,China,1934,49300.0
3288,China,1935,57700.0
3289,China,1936,65100.0
3290,China,1937,60600.0
3291,China,1938,55300.0
3292,China,1939,67200.0
3293,China,1940,86200.0
3294,China,1941,108000.0
3295,China,1942,114000.0
3296,China,1943,97400.0
3297,China,1944,97900.0
3298,China,1945,50400.0
3299,China,1946,31300.0
3300,China,1947,33600.0
3301,China,1948,23900.0
3302,China,1949,59400.0
3303,China,1950,78700.0
3304,China,1951,102000.0
3305,China,1952,128000.0
3306,China,1953,134000.0
3307,China,1954,161000.0
3308,China,1955,191000.0
3309,China,1956,217000.0
3310,China,1957,257000.0
3311,China,1958,526000.0
3312,China,1959,722000.0
3313,China,1960,781000.0
3314,China,1961,552000.0
3315,China,1962,440000.0
3316,China,1963,437000.0
3317,China,1964,437000.0
3318,China,1965,476000.0
3319,China,1966,523000.0
3320,China,1967,433000.0
3321,China,1968,469000.0
3322,China,1969,577000.0
3323,China,1970,772000.0
3324,China,1971,877000.0
3325,China,1972,932000.0
3326,China,1973,969000.0
3327,China,1974,988000.0
3328,China,1975,1150000.0
3329,China,1976,1200000.0
3330,China,1977,1310000.0
3331,China,1978,1460000.0
3332,China,1979,1490000.0
3333,China,1980,1470000.0
3334,China,1981,1450000.0
3335,China,1982,1580000.0
3336,China,1983,1670000.0
3337,China,1984,1810000.0
3338,China,1985,1970000.0
3339,China,1986,2070000.0
3340,China,1987,2210000.0
3341,China,1988,2370000.0
3342,China,1989,2410000.0
3343,China,1990,2440000.0
3344,China,1991,2570000.0
3345,China,1992,2690000.0
3346,China,1993,2880000.0
3347,China,1994,3060000.0
3348,China,1995,3320000.0
3349,China,1996,3460000.0
3350,China,1997,3470000.0
3351,China,1998,3320000.0
3352,China,1999,3320000.0
3353,China,2000,3410000.0
3354,China,2001,3490000.0
3355,China,2002,3850000.0
3356,China,2003,4540000.0
3357,China,2004,5230000.0
3358,China,2005,5900000.0
3359,China,2006,6530000.0
3360,China,2007,7030000.0
3361,China,2008,7550000.0
3362,China,2009,8000000.0
3363,China,2010,8780000.0
3364,China,2011,9730000.0
3365,China,2012,10000000.0
3366,China,2013,10300000.0
3367,China,2014,10300000.0
5760,Germany,1900,327000.0
5761,Germany,1901,326000.0
5762,Germany,1902,319000.0
5763,Germany,1903,344000.0
5764,Germany,1904,356000.0
5765,Germany,1905,383000.0
5766,Germany,1906,362000.0
5767,Germany,1907,443000.0
5768,Germany,1908,447000.0
5769,Germany,1909,446000.0
5770,Germany,1910,446000.0
5771,Germany,1911,459000.0
5772,Germany,1912,500000.0
5773,Germany,1913,536000.0
5774,Germany,1914,498000.0
5775,Germany,1915,463000.0
5776,Germany,1916,501000.0
5777,Germany,1917,525000.0
5778,Germany,1918,504000.0
5779,Germany,1919,388000.0
5780,Germany,1920,430000.0
5781,Germany,1921,474000.0
5782,Germany,1922,456000.0
5783,Germany,1923,332000.0
5784,Germany,1924,452000.0
5785,Germany,1925,458000.0
5786,Germany,1926,414000.0
5787,Germany,1927,481000.0
5788,Germany,1928,505000.0
5789,Germany,1929,539000.0
5790,Germany,1930,462000.0
5791,Germany,1931,386000.0
5792,Germany,1932,348000.0
5793,Germany,1933,365000.0
5794,Germany,1934,409000.0
5795,Germany,1935,453000.0
5796,Germany,1936,500000.0
5797,Germany,1937,564000.0
